official_name,official_athlete_url,nickname,division,record,slug_name,profile_name,canonical_athlete_url,profile_division,profile_record,profile_status,profile_source_tag,birthplace,age,height,reach,weight,octagon_debut,alternate_slug_names,official_url_identity_valid,official_url_identity_status,official_url_identity_reason,ufcstats_name,ufcstats_url,ufcstats_resolution,combat_sport,combat_sport_reason,combat_sport_profile_url,coverage_eligible
Lone’er Kavanagh,https://www.ufc.com/athlete/loneer-kavanagh,,Flyweight,10-2-0 (W-L-D),loneer kavanagh,Lone’er Kavanagh,https://www.ufc.com/athlete/loneer-kavanagh,Flyweight Division,10-2-0 (W-L-D),Active,,"London, England",27,66.00 in,67.00 in,126.00,"Nov. 23, 2024",loneer kavanagh,True,valid,,Lone'er Kavanagh,http://ufcstats.com/fighter-details/bb2c3c3a466224af,ufc_fighter_details,mma,ufcstats_profile_match,,True
Loopy Godinez,https://www.ufc.com/athlete/loopy-godinez,,Women's Strawweight,14-6-0 (W-L-D),loopy godinez,Loopy Godinez,https://www.ufc.com/athlete/loopy-godinez,Women's Strawweight Division,14-6-0 (W-L-D),Active,,"Aguascalientes, Mexico",32,62.00 in,61.00 in,115.00,"Apr. 17, 2021",loopy godinez,True,valid,,Loopy Godinez,http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7,ufc_fighter_details,mma,ufcstats_profile_match,,True
Lorenzo Hood,https://www.ufc.com/athlete/lorenzo-hood,,Heavyweight,0-1-0 (W-L-D),lorenzo hood,Lorenzo Hood,https://www.ufc.com/athlete/lorenzo-hood,Heavyweight Division,0-1-0 (W-L-D),Active,,United States,34,75.00 in,80.00 in,257.50,"Jul. 21, 2026",lorenzo hood,True,valid,,Lorenzo Hood,http://ufcstats.com/fighter-details/7f9abc4db2d05764,ufc_fighter_details,mma,ufcstats_profile_match,,True
Losene Keita,https://www.ufc.com/athlete/losen-keita,"""Black Panther""",Featherweight,16-2-0 (W-L-D),,Losene Keita,https://www.ufc.com/athlete/losen-keita,Featherweight Division,16-2-0 (W-L-D),Active,,Guinea,28,69.00 in,,149.00,"Sep. 6, 2025",,True,slug_mismatch_profile_valid,slug_name_mismatch:losen keita,Losene Keita,http://ufcstats.com/fighter-details/5b43d68174b6e2ab,ufc_fighter_details,mma,ufcstats_profile_match,,True
Louie Sutherland,https://www.ufc.com/athlete/louie-sutherland,"""Vanilla Gorilla""",Heavyweight,11-5-0 (W-L-D),louie sutherland,Louie Sutherland,https://www.ufc.com/athlete/louie-sutherland,Heavyweight Division,11-5-0 (W-L-D),Active,,"London, England",32,75.00 in,76.00 in,264.50,"Sep. 27, 2025",louie sutherland,True,valid,,Louie Sutherland,http://ufcstats.com/fighter-details/cdb7b38b1b357f26,ufc_fighter_details,mma,ufcstats_profile_match,,True
Louis Jourdain,https://www.ufc.com/athlete/louis-jourdain,,Bantamweight,1-0-0 (W-L-D),louis jourdain,Louis Jourdain,https://www.ufc.com/athlete/louis-jourdain,Bantamweight Division,1-0-0 (W-L-D),Active,,"Longueuil, Canada",28,69.00 in,69.50 in,135.50,"Jul. 21, 2026",louis jourdain,True,valid,,Louis Jourdain,http://ufcstats.com/fighter-details/91cd52cb92dfdd52,ufc_fighter_details,mma,ufcstats_profile_match,,True
Louis Lee Scott,https://www.ufc.com/athlete/louis-lee-scott,,Bantamweight,1-0-0 (W-L-D),louis lee scott,Louis Lee Scott,https://www.ufc.com/athlete/louis-lee-scott,Bantamweight Division,1-0-0 (W-L-D),Active,,"Leeds, England",25,68.00 in,70.00 in,136.50,"Jul. 21, 2026",louis lee scott,True,valid,,Louis Lee Scott,http://ufcstats.com/fighter-details/4327506eb9ee342f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Lu Kai,https://www.ufc.com/athlete/lu-kai,,Featherweight,1-2-0 (W-L-D),lu kai,Lu Kai,https://www.ufc.com/athlete/lu-kai,Featherweight Division,1-2-0 (W-L-D),Active,,"Miaoshou, China",29,,,146.00,"Jun. 10, 2022",lu kai,True,valid,,Lu Kai,http://ufcstats.com/fighter-details/a2d23e684b3db732,ufc_fighter_details,mma,ufcstats_profile_match,,True
Lu Zhengyong,https://www.ufc.com/athlete/lu-zhengyong,,Flyweight,0-0-0 (W-L-D),lu zhengyong,Lu Zhengyong,https://www.ufc.com/athlete/lu-zhengyong,Flyweight Division,0-0-0 (W-L-D),Active,,"Yunnan, China",26,,,125.50,"Jul. 21, 2026",lu zhengyong,True,valid,,Lu Zhengyong,http://ufcstats.com/fighter-details/dc1bfd47c3b21ad3,ufc_fighter_details,mma,ufcstats_profile_match,,True
Luana Pinheiro,https://www.ufc.com/athlete/luana-pinheiro,,Women's Strawweight,11-5-0 (W-L-D),luana pinheiro,Luana Pinheiro,https://www.ufc.com/athlete/luana-pinheiro,Women's Strawweight Division,11-5-0 (W-L-D),Active,,"João Pessoa, Brazil",32,62.50 in,62.50 in,115.50,"Mar. 27, 2021",luana pinheiro,True,valid,,Luana Pinheiro,http://ufcstats.com/fighter-details/a3a542074109b347,ufc_fighter_details,mma,ufcstats_profile_match,,True
Luana Santos,https://www.ufc.com/athlete/luana-santos,,Women's Bantamweight,11-2-0 (W-L-D),luana santos,Luana Santos,https://www.ufc.com/athlete/luana-santos,Women's Bantamweight Division,11-2-0 (W-L-D),Active,,Brazil,26,66.00 in,67.00 in,136.00,"Aug. 12, 2023",luana santos,True,valid,,Luana Santos,http://ufcstats.com/fighter-details/5078e1dacf9d25f4,ufc_fighter_details,mma,ufcstats_profile_match,,True
Lucas Brennan,https://www.ufc.com/athlete/lucas-brennan,"""Skywalker""",Lightweight,11-3-0 (W-L-D),lucas brennan,Lucas Brennan,https://www.ufc.com/athlete/lucas-brennan,Lightweight Division,11-3-0 (W-L-D),Active,,"Irvine, United States",25,70.00 in,72.00 in,155.00,"Apr. 25, 2026",lucas brennan|lukas brennan,True,valid,,Lucas Brennan,http://ufcstats.com/fighter-details/33a8708747b7f943,ufc_fighters_scraped,mma,ufcstats_profile_match,,True
Lucas Fernando,https://www.ufc.com/athlete/lucas-fernando,,Middleweight,0-1-0 (W-L-D),lucas fernando,Lucas Fernando,https://www.ufc.com/athlete/lucas-fernando,Middleweight Division,0-1-0 (W-L-D),Active,,"State of Rio de Janeiro, Brazil",29,75.00 in,80.00 in,186.00,"Jul. 21, 2026",lucas fernando|lukas fernando,True,valid,,Lucas Fernando,http://ufcstats.com/fighter-details/3df223aeaacecf3f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Lucas Rocha,https://www.ufc.com/athlete/lucas-rocha,"""Fenomeno""",Flyweight,18-2-0 (W-L-D),lucas rocha,Lucas Rocha,https://www.ufc.com/athlete/lucas-rocha,Flyweight Division,18-2-0 (W-L-D),Active,,"Coari, Brazil",25,63.00 in,64.00 in,126.00,"Apr. 6, 2024",lucas rocha|lukas rocha,True,valid,,Lucas Rocha,http://ufcstats.com/fighter-details/e0d3d9b564f95635,ufc_fighter_details,mma,ufcstats_profile_match,,True
Lucie Pudilova,https://www.ufc.com/athlete/lucie-pudilova,,Women's Flyweight,14-10-0 (W-L-D),lucie pudilova,Lucie Pudilova,https://www.ufc.com/athlete/lucie-pudilova,Women's Flyweight Division,14-10-0 (W-L-D),Active,,"Pribram, Czechia",30,68.00 in,67.50 in,136.70,"Mar. 18, 2017",lucie pudilova|lyusi pudilova,True,valid,,Lucie Pudilova,http://ufcstats.com/fighter-details/3cf66c62d9069f43,ufc_fighter_details,mma,ufcstats_profile_match,,True
Ludovit Klein,https://www.ufc.com/athlete/ludovit-klein,"""Mr. Highlight""",Lightweight,24-5-1 (W-L-D),ludovit klein,Ludovit Klein,https://www.ufc.com/athlete/ludovit-klein,Lightweight Division,24-5-1 (W-L-D),Active,,Slovakia,30,67.00 in,72.50 in,156.00,"Sep. 26, 2020",ludovit klein,True,valid,,Ludovit Klein,http://ufcstats.com/fighter-details/5b86d491d63890c5,ufc_fighter_details,mma,ufcstats_profile_match,,True
Luis Felipe Dias,https://www.ufc.com/athlete/luis-dias-de-assis,,Middleweight,18-5-0 (W-L-D),luis dias de assis,Luis Felipe Dias,https://www.ufc.com/athlete/luis-dias-de-assis,Middleweight Division,18-5-0 (W-L-D),Active,,"São José dos Campos, Brazil",31,70.00 in,74.00 in,185.50,"May. 30, 2026",luis dias de assis,True,valid,,Luis Felipe Dias,http://ufcstats.com/fighter-details/33a86e839ad202d8,ufc_fighter_details,mma,ufcstats_profile_match,,True
Luis Gomez,https://www.ufc.com/athlete/luis-gomez,"""Tiger Junior""",Featherweight,4-1-0 (W-L-D),luis gomez,Luis Gomez,https://www.ufc.com/athlete/luis-gomez,Featherweight Division,4-1-0 (W-L-D),Active,,Cuba,28,0.00 in,68.00 in,145.50,"Jul. 25, 2017",luis gomez,True,valid,,Luis Gomez,http://ufcstats.com/fighter-details/513e84bfe65ff509,ufc_fighter_details,mma,ufcstats_profile_match,,True
Luis Gurule,https://www.ufc.com/athlete/luis-gurule,"""Grim""",Flyweight,11-3-0 (W-L-D),luis gurule,Luis Gurule,https://www.ufc.com/athlete/luis-gurule,Flyweight Division,11-3-0 (W-L-D),Active,,"Denver, United States",32,65.00 in,64.00 in,125.00,"Apr. 5, 2025",luis gurule,True,valid,,Luis Gurule,http://ufcstats.com/fighter-details/29162be25ebef5f0,ufc_fighter_details,mma,ufcstats_profile_match,,True
Lukasz Sudolski,https://www.ufc.com/athlete/lukasz-sudolski,,Light Heavyweight,0-1-0 (W-L-D),lukasz sudolski,Lukasz Sudolski,https://www.ufc.com/athlete/lukasz-sudolski,Light Heavyweight Division,0-1-0 (W-L-D),Active,,"Szczecin, Poland",30,76.00 in,75.50 in,205.00,"Jul. 21, 2026",lukasz sudolski,True,valid,,,,,mma,,,True
Luke Fernandez,https://www.ufc.com/athlete/luke-fernandez,,Light Heavyweight,6-1-0 (W-L-D),luke fernandez,Luke Fernandez,https://www.ufc.com/athlete/luke-fernandez,Light Heavyweight Division,6-1-0 (W-L-D),Active,,"Orlando, United States",30,73.50 in,76.50 in,206.00,"Mar. 7, 2026",luke fernandez|lyuk fernandez,True,valid,,Luke Fernandez,http://ufcstats.com/fighter-details/d62e280d0f7b6d6f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Luke Riley,https://www.ufc.com/athlete/luke-riley,,Featherweight,14-0-0 (W-L-D),luke riley,Luke Riley,https://www.ufc.com/athlete/luke-riley,Featherweight Division,14-0-0 (W-L-D),Active,,"Whiston, England",27,69.00 in,69.00 in,145.50,"Nov. 22, 2025",luke riley,True,valid,,Luke Riley,http://ufcstats.com/fighter-details/b1de86d835638319,ufc_fighter_details,mma,ufcstats_profile_match,,True
Lyman Good,https://www.ufc.com/athlete/lyman-good,"""Cyborg""",Welterweight,21-6-0 (W-L-D),lyman good,Lyman Good,https://www.ufc.com/athlete/lyman-good,Welterweight Division,21-6-0 (W-L-D),Active,,"New York, United States",38,72.00 in,74.00 in,170.50,"Jul. 15, 2015",lyman good,True,valid,,Lyman Good,http://ufcstats.com/fighter-details/4e0692ad070976e4,ufc_fighter_details,mma,ufcstats_profile_match,,True
Mackenzie Dern,https://www.ufc.com/athlete/mackenzie-dern,,Women's Strawweight,16-5-0 (W-L-D),mackenzie dern,Mackenzie Dern,https://www.ufc.com/athlete/mackenzie-dern,Women's Strawweight Division,16-5-0 (W-L-D),Active,#6 PFP,United States,33,64.00 in,63.00 in,115.00,"Mar. 3, 2018",mackenzie dern,True,valid,,Mackenzie Dern,http://ufcstats.com/fighter-details/7447e9f28508106a,ufc_fighter_details,mma,ufcstats_profile_match,,True
Macy Chiasson,https://www.ufc.com/athlete/macy-chiasson,,Women's Bantamweight,11-6-0 (W-L-D),macy chiasson,Macy Chiasson,https://www.ufc.com/athlete/macy-chiasson,Women's Bantamweight Division,11-6-0 (W-L-D),Active,,United States,34,71.00 in,72.00 in,137.50,"Nov. 30, 2018",macy chiasson,True,valid,,Macy Chiasson,http://ufcstats.com/fighter-details/9cdd2da1a9104a0b,ufc_fighter_details,mma,ufcstats_profile_match,,True
Magomed Ankalaev,https://www.ufc.com/athlete/magomed-ankalaev,,Light Heavyweight,21-2-1 (W-L-D),magomed ankalaev,Magomed Ankalaev,https://www.ufc.com/athlete/magomed-ankalaev,Light Heavyweight Division,21-2-1 (W-L-D),Active,,Russia,34,75.00 in,75.00 in,204.50,"Mar. 17, 2018",magomed ankalaev,True,valid,,Magomed Ankalaev,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,ufc_fighter_details,mma,ufcstats_profile_match,,True
Magomed Tuchalov,https://www.ufc.com/athlete/magomed-tuchalov,"""Tiger""",Light Heavyweight,6-0-0 (W-L-D),magomed tuchalov,Magomed Tuchalov,https://www.ufc.com/athlete/magomed-tuchalov,Light Heavyweight Division,6-0-0 (W-L-D),Active,,Russia,26,77.00 in,,205.00,"Jul. 25, 2026",magomed tuchalov,True,valid,,Magomed Tuchalov,http://ufcstats.com/fighter-details/bc5a51159ec2fdf2,ufc_fighters_scraped,mma,ufcstats_profile_match,,True
Magomed Zaynukov,https://www.ufc.com/athlete/magomed-zaynukov,"""Wild Chanko""",Lightweight,8-0-0 (W-L-D),magomed zaynukov,Magomed Zaynukov,https://www.ufc.com/athlete/magomed-zaynukov,Lightweight Division,8-0-0 (W-L-D),Active,,"Chanko, Russia",31,70.00 in,68.50 in,155.50,"Jul. 25, 2026",magomed zaynukov,True,valid,,Magomed Zaynukov,http://ufcstats.com/fighter-details/04ff3a711504d6b3,ufc_fighter_details,mma,ufcstats_profile_match,,True
Maiara Amajanas Dos Santos,https://www.ufc.com/athlete/maiara-amajanas-dos-santos,,Women's Strawweight,0-0-0 (W-L-D),maiara amajanas dos santos,Maiara Amajanas Dos Santos,https://www.ufc.com/athlete/maiara-amajanas-dos-santos,Women's Strawweight Division,0-0-0 (W-L-D),Active,,,,,,115.50,"Jul. 21, 2026",maiara amajanas dos santos,True,valid,,,,,mma,,,True
Mairon Santos,https://www.ufc.com/athlete/mairon-santos-alves,"""""The Legend""""",Featherweight,18-1-0 (W-L-D),,Mairon Santos,https://www.ufc.com/athlete/mairon-santos-alves,Featherweight Division,18-1-0 (W-L-D),Active,,"São João de Meriti, Brazil",25,67.00 in,72.00 in,147.50,"Aug. 24, 2024",,True,slug_mismatch_profile_valid,slug_name_mismatch:mairon santos alves,Mairon Santos,http://ufcstats.com/fighter-details/480779d7f9a424d3,ufc_fighter_details,mma,ufcstats_profile_match,,True
Malcolm Wellmaker,https://www.ufc.com/athlete/malcolm-wellmaker,"""The Machine""",Bantamweight,10-2-0 (W-L-D),malcolm wellmaker,Malcolm Wellmaker,https://www.ufc.com/athlete/malcolm-wellmaker,Bantamweight Division,10-2-0 (W-L-D),Active,,"Augusta, United States",31,70.00 in,71.50 in,143.60,"Apr. 26, 2025",malcolm wellmaker,True,valid,,Malcolm Wellmaker,http://ufcstats.com/fighter-details/2e45d08b3f2f02c8,ufc_fighter_details,mma,ufcstats_profile_match,,True
Malik Lewis,https://www.ufc.com/athlete/malik-lewis,,Lightweight,0-2-0 (W-L-D),malik lewis,Malik Lewis,https://www.ufc.com/athlete/malik-lewis,Lightweight Division,0-2-0 (W-L-D),Active,Dana White's Contender Series,Germany,27,,,156.00,"Jul. 21, 2026",malik lewis|malik lyuis,True,valid,,Malik Lewis,http://ufcstats.com/fighter-details/f60dbe6e05489c4f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Mandel Nallo,https://www.ufc.com/athlete/mandel-nallo,"""Mango""",Lightweight,14-4-0 (W-L-D),mandel nallo,Mandel Nallo,https://www.ufc.com/athlete/mandel-nallo,Lightweight Division,14-4-0 (W-L-D),Active,,"North Vancouver, Canada",36,72.00 in,75.00 in,155.00,"Apr. 18, 2026",mandel nallo,True,valid,,Mandel Nallo,http://ufcstats.com/fighter-details/8f4528c10bd34fab,ufc_fighter_details,mma,ufcstats_profile_match,,True
Mando Gutierrez,https://www.ufc.com/athlete/mando-gutierrez,,Bantamweight,0-1-0 (W-L-D),mando gutierrez,Mando Gutierrez,https://www.ufc.com/athlete/mando-gutierrez,Bantamweight Division,0-1-0 (W-L-D),Active,Dana White's Contender Series,"Carpentersville, United States",25,,,135.50,"Jul. 21, 2026",mando gutierrez|mando guterrez,True,valid,,Mando Gutierrez,http://ufcstats.com/fighter-details/5f33ae0620e050c5,ufc_fighter_details,mma,ufcstats_profile_match,,True
Mandy Böhm,https://www.ufc.com/athlete/mandy-bohm,"""Monster""",Women's Flyweight,8-2-0 (W-L-D),mandy bohm,Mandy Böhm,https://www.ufc.com/athlete/mandy-bohm,Women's Flyweight Division,8-2-0 (W-L-D),Active,,"Gelsenkirchen, Germany",33,67.00 in,71.00 in,126.00,"Sep. 4, 2021",mandy bohm,True,valid,,Mandy Bohm,http://ufcstats.com/fighter-details/297a2b35444c245b,ufc_fighter_details,mma,ufcstats_profile_match,,True
Manel Kape,https://www.ufc.com/athlete/manel-kape,"""StarBoy""",Flyweight,23-7-0 (W-L-D),manel kape,Manel Kape,https://www.ufc.com/athlete/manel-kape,Flyweight Division,23-7-0 (W-L-D),Active,,Angola,32,65.00 in,68.00 in,126.00,"Feb. 6, 2021",manel kape|manel keype,True,valid,,Manel Kape,http://ufcstats.com/fighter-details/5d1b7e3dd9e11074,ufc_fighter_details,mma,ufcstats_profile_match,,True
Manny Vazquez,https://www.ufc.com/athlete/manny-vazquez,,Flyweight,11-2-0 (W-L-D),manny vazquez,Manny Vazquez,https://www.ufc.com/athlete/manny-vazquez,Flyweight Division,11-2-0 (W-L-D),Active,,,29,70.00 in,72.00 in,125.80,"Jul. 11, 2017",manny vazquez,True,valid,,Manny Vazquez,http://ufcstats.com/fighter-details/8d4d25fd9218860b,ufc_fighter_details,mma,ufcstats_profile_match,,True
Manoel Sousa,https://www.ufc.com/athlete/manoel-sousa,"""Manumito""",Lightweight,14-1-0 (W-L-D),manoel sousa,Manoel Sousa,https://www.ufc.com/athlete/manoel-sousa,Lightweight Division,14-1-0 (W-L-D),Active,,Brazil,28,69.00 in,70.00 in,155.50,"Mar. 14, 2026",manoel sousa,True,valid,,Manoel Sousa,http://ufcstats.com/fighter-details/5870c541798124ae,ufc_fighter_details,mma,ufcstats_profile_match,,True
Manolo Zecchini,https://www.ufc.com/athlete/manolo-zecchini,"""Angelo Veneziano""",Featherweight,11-5-0 (W-L-D),manolo zecchini,Manolo Zecchini,https://www.ufc.com/athlete/manolo-zecchini,Featherweight Division,11-5-0 (W-L-D),Active,,Italy,29,68.00 in,68.00 in,146.00,"Sep. 2, 2023",manolo zecchini|manolo zekchini,True,valid,,Manolo Zecchini,http://ufcstats.com/fighter-details/fd7ab338e4953644,ufc_fighter_details,mma,ufcstats_profile_match,,True
Manon Fiorot,https://www.ufc.com/athlete/manon-fiorot,"""The Beast""",Women's Flyweight,13-2-0 (W-L-D),manon fiorot,Manon Fiorot,https://www.ufc.com/athlete/manon-fiorot,Women's Flyweight Division,13-2-0 (W-L-D),Active,#5 PFP,"Nice, France",36,67.00 in,65.00 in,125.50,"Jan. 20, 2021",manon fiorot|manon firo,True,valid,,Manon Fiorot,http://ufcstats.com/fighter-details/34ff304266360297,ufc_fighter_details,mma,ufcstats_profile_match,,True
Mansur Abdul-Malik,https://www.ufc.com/athlete/mansur-abdul-malik,,Middleweight,9-1-1 (W-L-D),mansur abdul malik,Mansur Abdul-Malik,https://www.ufc.com/athlete/mansur-abdul-malik,Middleweight Division,9-1-1 (W-L-D),Active,,"Pittsburgh, United States",28,74.00 in,79.50 in,185.50,"Nov. 9, 2024",mansur abdul malik,True,valid,,Mansur Abdul-Malik,http://ufcstats.com/fighter-details/841695e02c99a521,ufc_fighter_details,mma,ufcstats_profile_match,,True
Mantas Kondratavičius,https://www.ufc.com/athlete/mantas-kondratavicius,,Middleweight,9-1-0 (W-L-D),mantas kondratavicius,Mantas Kondratavičius,https://www.ufc.com/athlete/mantas-kondratavicius,Middleweight Division,9-1-0 (W-L-D),Active,,"Kaunas County, Lithuania",26,74.00 in,75.50 in,186.00,"Mar. 21, 2026",mantas kondratavicius|mantas kondratavichus,True,valid,,Mantas Kondratavicius,http://ufcstats.com/fighter-details/3cc506f115cbb9d5,ufc_fighter_details,mma,ufcstats_profile_match,,True
Manuel Torres,https://www.ufc.com/athlete/manuel-torres,"""El Loco""",Lightweight,17-4-0 (W-L-D),manuel torres,Manuel Torres,https://www.ufc.com/athlete/manuel-torres,Lightweight Division,17-4-0 (W-L-D),Active,,"Chihuahua, Mexico",31,70.00 in,73.50 in,156.00,"May. 14, 2022",manuel torres,True,valid,,Manuel Torres,http://ufcstats.com/fighter-details/2e7878927067fdca,ufc_fighter_details,mma,ufcstats_profile_match,,True
MarQuel Mederos,https://www.ufc.com/athlete/marquel-mederos,,Lightweight,11-1-1 (W-L-D),marquel mederos,MarQuel Mederos,https://www.ufc.com/athlete/marquel-mederos,Lightweight Division,11-1-1 (W-L-D),Active,,"Denver, United States",29,70.00 in,69.50 in,155.00,"Feb. 3, 2024",marquel mederos|markuel mederos,True,valid,,MarQuel Mederos,http://ufcstats.com/fighter-details/e2be0c1a9b886d92,ufc_fighter_details,mma,ufcstats_profile_match,,True
Marc Diakiese,https://www.ufc.com/athlete/marc-diakiese,"""Bonecrusher""",Lightweight,17-7-0 (W-L-D),marc diakiese,Marc Diakiese,https://www.ufc.com/athlete/marc-diakiese,Lightweight Division,17-7-0 (W-L-D),Active,,Democratic Republic of the Congo,30,70.00 in,73.00 in,172.00,"Oct. 9, 2016",marc diakiese,True,valid,,Marc Diakiese,http://ufcstats.com/fighter-details/32c355b04fc57f3a,ufc_fighter_details,mma,ufcstats_profile_match,,True
Marc-Andre Barriault,https://www.ufc.com/athlete/marc-andre-barriault,"""Powerbar""",Middleweight,17-11-0 (W-L-D),marc andre barriault,Marc-Andre Barriault,https://www.ufc.com/athlete/marc-andre-barriault,Middleweight Division,17-11-0 (W-L-D),Active,,"Gatineau, Canada",35,73.00 in,74.00 in,185.00,"Jul. 21, 2026",marc andre barriault,True,valid,,Marc-Andre Barriault,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,ufc_fighter_details,mma,ufcstats_profile_match,,True
Marcin Tybura,https://www.ufc.com/athlete/marcin-tybura,"""Tybur""",Heavyweight,27-11-0 (W-L-D),marcin tybura,Marcin Tybura,https://www.ufc.com/athlete/marcin-tybura,Heavyweight Division,27-11-0 (W-L-D),Active,,"Uniejow, Poland",40,75.00 in,78.00 in,256.00,"Apr. 10, 2016",marcin tybura|marchin tybura,True,valid,,Marcin Tybura,http://ufcstats.com/fighter-details/c9cf753cfdf77fc2,ufc_fighter_details,mma,ufcstats_profile_match,,True
Marcio Alexandre,https://www.ufc.com/athlete/marcio-alexandre,"""Lyoto""",Middleweight,13-3-0 (W-L-D),marcio alexandre,Marcio Alexandre,https://www.ufc.com/athlete/marcio-alexandre,Middleweight Division,13-3-0 (W-L-D),Active,,"Florianopolis, Brazil",34,73.00 in,75.00 in,186.00,"May. 31, 2014",marcio alexandre,True,valid,,Marcio Alexandre Junior,http://ufcstats.com/fighter-details/d53482bef23235ba,ufc_fighter_details,mma,ufcstats_profile_match,,True
Marcio Barbosa,https://www.ufc.com/athlete/marcio-barbosa,"""Ticoto""",Featherweight,17-2-0 (W-L-D),marcio barbosa,Marcio Barbosa,https://www.ufc.com/athlete/marcio-barbosa,Featherweight Division,17-2-0 (W-L-D),Active,,Brazil,27,66.00 in,70.50 in,145.50,"Mar. 28, 2026",marcio barbosa|marsio barbosa,True,valid,,Marcio Barbosa,http://ufcstats.com/fighter-details/c85bad793cd14e28,ufc_fighter_details,mma,ufcstats_profile_match,,True
Marco Tulio,https://www.ufc.com/athlete/marco-tulio,"""Matuto""",Middleweight,14-3-0 (W-L-D),marco tulio,Marco Tulio,https://www.ufc.com/athlete/marco-tulio,Middleweight Division,14-3-0 (W-L-D),Active,,"Uberlândia, Brazil",31,72.00 in,74.50 in,185.50,"Jan. 11, 2025",marco tulio,True,valid,,Marco Tulio,http://ufcstats.com/fighter-details/9384e71bca6c409d,ufc_fighter_details,mma,ufcstats_profile_match,,True
Marcos Brigagao,https://www.ufc.com/athlete/marcos-brigagao,,Light Heavyweight,0-0-0 (W-L-D),marcos brigagao,Marcos Brigagao,https://www.ufc.com/athlete/marcos-brigagao,Light Heavyweight Division,0-0-0 (W-L-D),Active,,,27,,,202.50,"Jul. 21, 2026",marcos brigagao,True,valid,,Marcos Brigagao,http://ufcstats.com/fighter-details/11547e29f253fb89,ufc_fighter_details,mma,ufcstats_profile_match,,True
Marcos Conrado Junior,https://www.ufc.com/athlete/marcos-conrado-junior,,Heavyweight,0-0-0 (W-L-D),marcos conrado junior,Marcos Conrado Junior,https://www.ufc.com/athlete/marcos-conrado-junior,Heavyweight Division,0-0-0 (W-L-D),Active,,,41,,,212.50,"Jul. 21, 2026",marcos conrado junior,True,valid,,Marcos Conrado Jr.,http://ufcstats.com/fighter-details/d450769115a193c2,ufc_fighter_details,mma,ufcstats_profile_match,,True
Marcus Buchecha,https://www.ufc.com/athlete/marcus-buchecha,,Heavyweight,5-3-1 (W-L-D),marcus buchecha,Marcus Buchecha,https://www.ufc.com/athlete/marcus-buchecha,Heavyweight Division,5-3-1 (W-L-D),Active,,"State of São Paulo, Brazil",36,74.00 in,77.50 in,251.50,"Jul. 26, 2025",marcus buchecha|markus buchecha,True,valid,,Marcus Buchecha,http://ufcstats.com/fighter-details/095854a135e6db55,ufc_fighter_details,mma,ufcstats_profile_match,,True
Marcus McGhee,https://www.ufc.com/athlete/marcus-mcghee,"""The Maniac""",Bantamweight,11-2-0 (W-L-D),marcus mcghee,Marcus McGhee,https://www.ufc.com/athlete/marcus-mcghee,Bantamweight Division,11-2-0 (W-L-D),Active,,"Detroit, United States",36,68.00 in,69.00 in,136.00,"Apr. 29, 2023",marcus mcghee,True,valid,,Marcus McGhee,http://ufcstats.com/fighter-details/c0ac37a4a1133da9,ufc_fighter_details,mma,ufcstats_profile_match,,True
Maria Silva,https://www.ufc.com/athlete/maria-silva,,Women's Strawweight,1-1-0 (W-L-D),maria silva,Maria Silva,https://www.ufc.com/athlete/maria-silva,Women's Strawweight Division,1-1-0 (W-L-D),Active,Dana White's Contender Series,"Santana do Cariri, Brazil",27,63.00 in,65.00 in,115.00,"Jul. 21, 2026",maria silva,True,valid,,Maria Silva,http://ufcstats.com/fighter-details/4408865b4e65e374,ufc_fighter_details,mma,ufcstats_profile_match,,True
Marilia Santos,https://www.ufc.com/athlete/marilia-santos,,Women's Flyweight,0-0-0 (W-L-D),marilia santos,Marilia Santos,https://www.ufc.com/athlete/marilia-santos,Women's Flyweight Division,0-0-0 (W-L-D),Active,,"State of Bahia, Brazil",30,,,124.50,"Jul. 21, 2026",marilia santos,True,valid,,Marilia Santos,http://ufcstats.com/fighter-details/4cb79988b2a9bd07,ufc_fighter_details,mma,ufcstats_profile_match,,True
Mario Bautista,https://www.ufc.com/athlete/mario-bautista,,Bantamweight,18-3-0 (W-L-D),mario bautista,Mario Bautista,https://www.ufc.com/athlete/mario-bautista,Bantamweight Division,18-3-0 (W-L-D),Active,,"Winnemucca, United States",33,69.00 in,72.00 in,135.50,"Jan. 19, 2019",mario bautista,True,valid,,Mario Bautista,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,ufc_fighter_details,mma,ufcstats_profile_match,,True
Mario Pinto,https://www.ufc.com/athlete/mario-pinto,,Heavyweight,12-0-0 (W-L-D),mario pinto,Mario Pinto,https://www.ufc.com/athlete/mario-pinto,Heavyweight Division,12-0-0 (W-L-D),Active,,"Lisbon, Portugal",28,77.00 in,79.00 in,255.00,"Mar. 1, 2025",mario pinto,True,valid,,Mario Pinto,http://ufcstats.com/fighter-details/39d309957c5c210d,ufc_fighter_details,mma,ufcstats_profile_match,,True
