event_name,event_date
ufc fight night: makhachev vs. green,2022-02-26
ufc fight night: makhachev vs. moises,2021-07-17
ufc fight night: manuwa vs. anderson,2017-03-18
ufc fight night: marquardt vs palhares,2010-09-15
ufc fight night: marreta vs. anders,2018-09-22
ufc fight night: maynard vs diaz,2010-01-11
ufc fight night: mcdonald vs. lineker,2016-07-13
ufc fight night: mcgregor vs brandao,2014-07-19
ufc fight night: mcgregor vs siver,2015-01-18
ufc fight night: mendes vs lamas,2015-04-04
ufc fight night: minotauro vs nelson,2014-04-11
ufc fight night: miocic vs hunt,2015-05-09
ufc fight night: miocic vs maldonado,2014-05-31
ufc fight night: mir vs duffee,2015-07-15
ufc fight night: moicano vs. saint denis,2024-09-28
ufc fight night: moicano vs. the korean zombie,2019-06-22
ufc fight night: moraes vs. sandhagen,2020-10-10
ufc fight night: moreno vs. albazi,2024-11-02
ufc fight night: moreno vs. erceg,2025-03-29
ufc fight night: moreno vs. kavanagh,2026-02-28
ufc fight night: moreno vs. royval 2,2024-02-24
ufc fight night: mousasi vs. hall 2,2016-11-19
ufc fight night: munhoz vs. edgar,2020-08-22
ufc fight night: muniz vs. allen,2023-02-25
ufc fight night: munoz vs mousasi,2014-05-31
ufc fight night: namajunas vs. cortez,2024-07-13
ufc fight night: namajunas vs. vanzant,2015-12-10
