event_date,fighter_a,fighter_b
2011-12-10,Frank Mir,Antonio Rodrigo Nogueira
2011-12-10,Claude Patrick,Brian Ebersole
2011-12-30,Vladimir Matyushenko,Alexander Gustafsson
2011-12-30,Ross Pearson,Junior Assuncao
2011-12-30,Nate Diaz,Donald Cerrone
2011-12-30,Nam Phan,Jimy Hettes
2011-12-30,Manvel Gamburyan,Diego Nunes
2011-12-30,Jon Fitch,Johny Hendricks
2011-12-30,Jacob Volkmann,Efrain Escudero
2011-12-30,Dong Hyun Kim,Sean Pierson
2011-12-30,Brock Lesnar,Alistair Overeem
2011-12-30,Anthony Njokuani,Danny Castillo
2012-01-14,Vitor Belfort,Anthony Johnson
2012-01-14,Thiago Tavares,Sam Stout
2012-01-14,Rousimar Palhares,Mike Massenzio
2012-01-14,Ricardo Funch,Mike Pyle
2012-01-14,Iuri Alcantara,Michihiro Omigawa
2012-01-14,Felipe Arantes,Antonio Carvalho
2012-01-14,Gabriel Gonzaga,Ednaldo Oliveira
2012-01-14,Erick Silva,Carlo Prater
2012-01-14,Edson Barboza,Terry Etim
2012-01-14,Jose Aldo,Chad Mendes
2012-01-20,Pat Barry,Christian Morecraft
2012-01-20,Charlie Brenneman,Daniel Roberts
2012-01-20,Daniel Pineda,Pat Schilling
2012-01-20,Duane Ludwig,Josh Neer
2012-01-20,Fabricio Camoes,Tommy Hayden
2012-01-20,Jorge Rivera,Eric Schafer
2012-01-20,Joseph Sandoval,Nick Denis
2012-01-20,Kamal Shalorus,Khabib Nurmagomedov
2012-01-20,Melvin Guillard,Jim Miller
2012-01-20,Mike Easton,Jared Papazian
2012-01-28,Michael Johnson,Shane Roller
2012-01-28,Joey Beltran,Lavar Johnson
2012-01-28,Rashad Evans,Phil Davis
2012-01-28,Mike Russow,Jon Olav Einemo
2012-01-28,Evan Dunham,Nik Lentz
2012-01-28,Demian Maia,Chris Weidman
2012-01-28,Cub Swanson,George Roop
2012-01-28,Chris Camozzi,Dustin Jacoby
2012-01-28,Charles Oliveira,Eric Wisely
2012-01-28,Chael Sonnen,Michael Bisping
2012-02-04,Roy Nelson,Fabricio Werdum
2012-02-04,Renan Barao,Scott Jorgensen
2012-02-04,Rafael Natal,Michael Kuiper
2012-02-04,Nick Diaz,Carlos Condit
2012-02-04,Matthew Riddle,Henry Martinez
2012-02-04,Matt Brown,Chris Cope
2012-02-04,Josh Koscheck,Mike Pierce
2012-02-04,Ed Herman,Clifford Starks
2012-02-04,Dustin Poirier,Max Holloway
2012-02-04,Dan Stittgen,Stephen Thompson
2012-02-04,Alex Caceres,Edwin Figueroa
2012-02-15,Tim Means,Bernardo Magalhaes
2012-02-15,TJ Dillashaw,Walel Watson
2012-02-15,Stipe Miocic,Philip De Fries
2012-02-15,Stefan Struve,Dave Herman
