event_date,tour,tourney_name,bucket,round,winner,loser_name,player_a,player_b,candidate_source,candidate_date,candidate_names,candidate_tournament,candidate_has_numeric_odds,classification
2024-02-01,atp,Davis Cup QLS R1: UKR vs USA,Davis Cup QLS R1: UKR vs USA 2024,RR,Sebastian Korda,Oleksii Krutykh,Oleksii Krutykh,Sebastian Korda,betexplorer_team_events,2024-02-01,Korda S. vs Krutykh O.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-01,atp,Davis Cup QLS R1: UKR vs USA,Davis Cup QLS R1: UKR vs USA 2024,RR,Taylor Fritz,Vladyslav Orlov,Taylor Fritz,Vladyslav Orlov,betexplorer_team_events,2024-02-02,Fritz T. vs Orlov V.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: CAN vs KOR,Davis Cup QLS R1: CAN vs KOR 2024,RR,Gabriel Diallo,Seong Chan Hong,Gabriel Diallo,Seong Chan Hong,betexplorer_team_events,2024-02-03,Diallo G. vs Hong S. C.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: CAN vs KOR,Davis Cup QLS R1: CAN vs KOR 2024,RR,Gabriel Diallo,Soon Woo Kwon,Gabriel Diallo,Soon Woo Kwon,betexplorer_team_events,2024-02-02,Diallo G. vs Kwon S.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: CAN vs KOR,Davis Cup QLS R1: CAN vs KOR 2024,RR,Vasek Pospisil,Seong Chan Hong,Seong Chan Hong,Vasek Pospisil,betexplorer_team_events,2024-02-02,Pospisil V. vs Hong S. C.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: FIN vs POR,Davis Cup QLS R1: FIN vs POR 2024,RR,Emil Ruusuvuori,Joao Sousa,Emil Ruusuvuori,Joao Sousa,betexplorer_team_events,2024-02-02,Ruusuvuori E. vs Sousa J.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: FIN vs POR,Davis Cup QLS R1: FIN vs POR 2024,RR,Henrique Rocha,Eero Vasa,Eero Vasa,Henrique Rocha,betexplorer_team_events,2024-02-03,Rocha H. vs Vasa E.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: FIN vs POR,Davis Cup QLS R1: FIN vs POR 2024,RR,Otto Virtanen,Nuno Borges,Nuno Borges,Otto Virtanen,betexplorer_team_events,2024-02-02,Virtanen O. vs Borges N.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: HUN vs GER,Davis Cup QLS R1: HUN vs GER 2024,RR,Dominik Koepfer,Fabian Marozsan,Dominik Koepfer,Fabian Marozsan,betexplorer_team_events,2024-02-02,Koepfer D. vs Marozsan F.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: HUN vs GER,Davis Cup QLS R1: HUN vs GER 2024,RR,Jan Lennard Struff,Mate Valkusz,Jan Lennard Struff,Mate Valkusz,betexplorer_team_events,2024-02-03,Struff J-L. vs Valkusz M.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: HUN vs GER,Davis Cup QLS R1: HUN vs GER 2024,RR,Marton Fucsovics,Jan Lennard Struff,Jan Lennard Struff,Marton Fucsovics,betexplorer_team_events,2024-02-02,Fucsovics M. vs Struff J-L.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: HUN vs GER,Davis Cup QLS R1: HUN vs GER 2024,RR,Zsombor Piros,Kevin Krawietz,Kevin Krawietz,Zsombor Piros,betexplorer_team_events,2024-02-03,Piros Z. vs Krawietz K.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: NED vs SUI,Davis Cup QLS R1: NED vs SUI 2024,RR,Botic Van De Zandschulp,Marc Andrea Huesler,Botic Van De Zandschulp,Marc Andrea Huesler,betexplorer_team_events,2024-02-03,Van De Zandschulp B. vs Huesler M.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: NED vs SUI,Davis Cup QLS R1: NED vs SUI 2024,RR,Leandro Riedi,Botic Van De Zandschulp,Botic Van De Zandschulp,Leandro Riedi,betexplorer_team_events,2024-02-02,Riedi L. vs Van De Zandschulp B.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: NED vs SUI,Davis Cup QLS R1: NED vs SUI 2024,RR,Tallon Griekspoor,Leandro Riedi,Leandro Riedi,Tallon Griekspoor,betexplorer_team_events,2024-02-03,Griekspoor T. vs Riedi L.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: NED vs SUI,Davis Cup QLS R1: NED vs SUI 2024,RR,Tallon Griekspoor,Marc Andrea Huesler,Marc Andrea Huesler,Tallon Griekspoor,betexplorer_team_events,2024-02-02,Griekspoor T. vs Huesler M.,dc-wg-2024,False,source_has_no_numeric_odds
